name,base-drink,topping,fruit,type,country,item,price
HeyTea,green tea,cheese foam,,cheese tea,China,cheezo/light cheezo aqua green,2.19
HeyTea,green tea,,,tea,China,aqua green,1.41
HeyTea,milk;green tea,,,milk tea,China,aqua green milk tea,2.03
HeyTea,oolong tea,cheese foam,,cheese tea,China,king fone cheese tea,2.81
HeyTea,oolong tea,,,tea,China,king fone,2.03
HeyTea,milk; oolong tea,,,milk tea,China,king fone milk tea,2.66
HeyTea,milk; black tea,,,milk tea,China,milk tea,2.34
HeyTea,milk; coffee,vanilla syrup,,coffee,China,vanilla latte,2.97
HeyTea,oat milk; coffee,,,coffee,China,oat latte,3.44
HeyTea,milk; coffee,,,coffee,China,latte,2.5
HeyTea,thai tea; milk; coffee,,,coffee,China,thai tea latte,3.44
HeyTea,milk; coffee,boba,,coffee,China,bobo coffee,3.44
HeyTea,coffee; milk,cheese foam,,coffee,China,cheese coffee,3.44
HeyTea,coffee,,lemon,coffee,China,lemon americano,2.97
HeyTea,coffee,,grapefruit,coffee,China,grapefruit americano,2.97
HeyTea,coffee,,,coffee,China,americano,1.41
HeyTea,oolong tea,,,tea,China,ever Spring,4.06
HeyTea,oolong tea,,,tea,China,osmanthus oolong,3.59
HeyTea,matcha,,,matcha,China,jade metcha,4.45
HeyTea,cocoa,,,cocoa,China,truffle cocoa,4.61
HeyTea,oolong tea,,,tea,China,cold brew autumn chill,1.88
HeyTea,,cheese foam,grape,fruit tea,China,very grape cheezo（more pulp）,4.38
HeyTea,milk,taro; boba,,milk,China,taro bobo tea 2.0,3.91
HeyTea,milk,purple rice,,milk,China,taro purple rice tea,3.59
HeyTea,milk,purple rice; boba,,milk,China,purple rice bobo tea,3.91
HeyTea,green tea,cheese foam,strawberry,fruit tea,China,strawberry cheezo,5.0
HeyTea,green tea,,strawberry,fruit tea,China,very strawberry cheezo(more pulp),5.0
HeyTea,green tea,cheese foam,berry,fruit tea,China,berry bang cheezo,5.16
HeyTea,green tea,ice cream,mango,fruit tea,China,tangy mango with ice cream,4.53
HeyTea,green tea,cheese foam,mango,fruit tea,China,mango cheezo,5.0
HeyTea,green tea,,grapefruit,fruit tea,China,grapefruit boom,3.91
HeyTea,green tea,,orange,fruit tea,China,orange boom,3.59
HeyTea,,,pineapple,fruit tea,China,golden pineapple boom,4.38
