item,price,name,base-drink,topping,fruit,type
Sri Lanka Black Tea (Iced or Hot),$3.75 ,ShinyTea,black tea,,,tea
Jasmine Green Tea (Iced or Hot),$3.75 ,ShinyTea,jasmine tea,,,tea
Premium Green Tea (Iced or Hot),$4.00 ,ShinyTea,green tea,,,tea
Ice Peak Oolong Tea (Iced or Hot),$4.00 ,ShinyTea,oolong tea,,,tea
Tie Guan Yin Tea (Iced or Hot),$4.00 ,ShinyTea,green tea,,,tea
Medium Fresh Jade Green Tea,$4.50 ,ShinyTea,green tea,,,tea
Fresh Jade Green Tea (Iced or Hot),$4.50 ,ShinyTea,green tea,,,tea
Medium Pu-erh Tea,$4.00 ,ShinyTea,pu-er tea,,,tea
Pu-erh Tea (Iced or Hot),$4.00 ,ShinyTea,pu-er tea,,,tea
White Pearl Milk Tea,$4.50 ,ShinyTea,milk;black tea,white pearl,,milk tea
Classic Boba Milk Tea,$4.50 ,ShinyTea,milk;black tea,boba,,milk tea
Panda Milk Tea,$4.50 ,ShinyTea,milk;black tea,white pearl;pearl,,milk tea
Brown Sugar Boba Milk Tea,$5.00 ,ShinyTea,milk;black tea,boba;brown sugar,,milk tea
Pudding Oolong Milk Tea,$4.75 ,ShinyTea,milk;oolong tea,pudding,,milk tea
Coffee Jelly Pu-erh Milk Tea,$4.50 ,ShinyTea,milk;pu-er tea,coffee jelly,,milk tea
Classic Milk Tea,$4.25 ,ShinyTea,milk;black tea,,,milk tea
Jasmine Green Milk Tea,$4.25 ,ShinyTea,milk;jasmine tea,,,milk tea
Fresh Jade Milk Tea,$4.75 ,ShinyTea,milk;green tea,,,milk tea
WenShan Milk Tea,$4.50 ,ShinyTea,milk;oolong tea,,,milk tea
Oolong Milk Tea,$4.25 ,ShinyTea,milk;oolong tea,,,milk tea
TieGuanYin Milk Tea,$4.25 ,ShinyTea,milk;oolong tea,,,milk tea
Pu-erh Milk Tea,$4.25 ,ShinyTea,milk;pu-er tea,,,milk tea
Caramel Milk Tea,$4.75 ,ShinyTea,milk;black tea,caramel,,milk tea
Brown Sugar Milk Tea,$4.75 ,ShinyTea,milk;black tea,brown sugar,,milk tea
Longan and Red Date Milk Tea,$4.25 ,ShinyTea,milk;black tea;jujube,,longan,milk tea
Taro Milk Tea,$4.75 ,ShinyTea,milk;black tea,taro,,milk tea
Mung Bean Black Milk Tea,$4.75 ,ShinyTea,milk;black tea,mung bean,,milk tea
Mung Bean Green Milk Tea,$4.75 ,ShinyTea,milk;green tea,mung bean,,milk tea
Chocolate Milk Tea,$5.25 ,ShinyTea,milk;black tea;cocoa,,,milk tea
Ovaltine Milk Tea,$5.00 ,ShinyTea,milk;black tea;cocoa,,,milk tea
Black Tea Latte,$4.75 ,ShinyTea,black tea;milk,,,milk tea
Green Tea Latte,$4.75 ,ShinyTea,green tea;milk,,,milk tea
Oolong Tea Latte,$4.75 ,ShinyTea,oolong tea;milk,,,milk tea
TieGuanYin Tea Latte,$4.75 ,ShinyTea,oolong tea;milk,,,milk tea
Pu-erh Tea Latte,$4.75 ,ShinyTea,pu-er tea;milk,,,milk tea
Caramel Black Tea Latte,$5.00 ,ShinyTea,black tea;milk,caramel,,milk tea
Caramel Pu-erh Tea Latte,$5.00 ,ShinyTea,pu-er tea;milk,caramel,,milk tea
Brown Sugar Black Tea Latte,$5.00 ,ShinyTea,black tea;milk,brown sugar,,milk tea
Honey Black Tea,$4.25 ,ShinyTea,black tea,honey,,tea
Honey Green Tea,$4.25 ,ShinyTea,green tea,honey,,tea
Honey Oolong Tea,$4.25 ,ShinyTea,oolong tea,honey,,tea
Honey TieGuanYin Tea,$4.25 ,ShinyTea,oolong tea,honey,,tea
Honey Pu-erh Tea,$4.25 ,ShinyTea,pu-er tea,honey,,tea
Taiwan Honey,$4.25 ,ShinyTea,water,honey,,water
Kumquat Black Tea,$4.75 ,ShinyTea,black tea,,kumquat,fruit tea
Lemon Black Tea,$4.75 ,ShinyTea,black tea,,lemon,fruit tea
Lemon Green Tea,$4.75 ,ShinyTea,green tea,,lemon,fruit tea
Lemon Premium Green Tea,$5.00 ,ShinyTea,green tea,,lemon,fruit tea
Lemon Fresh Jade Green Tea,$5.25 ,ShinyTea,green tea,,lemon,fruit tea
Mango Black Tea,$4.50 ,ShinyTea,black tea,,mango,fruit tea
Mango Green Tea,$4.50 ,ShinyTea,green tea,,mango,fruit tea
Mango Premium Green Tea,$4.75 ,ShinyTea,green tea,,mango,fruit tea
Grapefruit Premium Green Tea,$4.75 ,ShinyTea,green tea,,grapefruit,fruit tea
Grapefruit Green Tea,$4.75 ,ShinyTea,green tea,,grapefruit,fruit tea
Passion Fruit Black Tea,$4.75 ,ShinyTea,black tea,,passion fruit,fruit tea
Passion Fruit Green Tea,$4.75 ,ShinyTea,green tea,,passion fruit,fruit tea
Passion Fruit Premium Green Tea,$5.00 ,ShinyTea,green tea,,passion fruit,fruit tea
Winter Melon Oolong Tea,$4.75 ,ShinyTea,oolong tea;wintermelon tea,,,tea
